id,name,artist_popularity,artist_genres,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
3uicVMR3k5xPb0cD4JsMv1,GS,18,"['christian hip hop', 'christian trap', 'gospel rap']",4449,christian hip hop,christian trap,gospel rap,,,NA,NA
271JnVctej1qIXvWIL8jRB,Morning Glory,18,['crack rock steady'],14621,crack rock steady,,,,,NA,NA
5hmUF4owAsrwthZ4K5k5dy,Monica Rocha,19,['souldies'],3950,souldies,,,,,NA,NA
0MOZUpmwkWLuzLm3pM3ETD,The York Family,19,['family gospel'],1561,family gospel,,,,,NA,NA
0FUbZjWFfOVHZBvpgqqfTL,Chris Barber's Jazz & Blues Band,19,['dixieland'],2733,dixieland,,,,,NA,NA
3Td06I1OWFLWLob20A7cWu,The Whomping Willows,19,['wrock'],17001,wrock,,,,,NA,NA
3OxjjcGD94EPwRZ4ukKeuD,Nikotina,19,"['euskal reggae', 'euskal rock', 'rap euskera']",3511,euskal reggae,euskal rock,rap euskera,,,NA,NA
2X4fqHcy2QZM9MkITcNYYx,Nate Fredrick,19,['midwest americana'],2799,midwest americana,,,,,NA,NA
1wRjJI80Z1xUT2aFdn7aru,GEAVN,20,['cloud rap francais'],1311,cloud rap francais,,,,,NA,NA
2qNGvvsycqPDFxAVGUNbMw,Shebang,20,['swedish eurodance'],3873,swedish eurodance,,,,,NA,NA
6OGNyv8Z63eYqmkN17mpwW,Profanatica,20,"['black death', 'black metal', 'black thrash', 'new york death metal', 'usbm', 'war metal']",23799,black death,black metal,black thrash,new york death metal,usbm,NA,NA
5HGiYfzLihy6ko4T5231Pw,Nirvana Handpan,20,['handpan'],813,handpan,,,,,NA,NA
0RqTa9g1FGwU3VIhW2SNI9,All Bossa Too,20,['bossa nova cover'],948,bossa nova cover,,,,,NA,NA
6TBVRWjGKSLCZwhqSQ03pK,Faye Fang Kaew,20,['thai teen pop'],19309,thai teen pop,,,,,NA,NA
0eIYH8dqSwOAsaXuPdpcL3,Paz Nirvana,20,['musica de fondo'],2194,musica de fondo,,,,,NA,NA
2wPJk7rbYOFBnU3lBZS5gX,Chained to the Bottom of the Ocean,21,"['black sludge', 'blackened hardcore', 'drone metal', 'post-doom metal']",9493,black sludge,blackened hardcore,drone metal,post-doom metal,,NA,NA
38oeklBEe3D45OoHA6L4iY,Cinematic Meditation,21,['meditation'],361,meditation,,,,,NA,NA
2PE4urJkkOhh5u7ze2vrap,James Day,21,['smooth soul'],4171,smooth soul,,,,,NA,NA
7lqVTxfOywIDg6yGHUiwTJ,Mary Coughlan,22,['irish singer-songwriter'],9736,irish singer-songwriter,,,,,NA,NA
1vLFIIIwNjiO8VSNnh8nLh,Noordpool Orchestra,22,['modern big band'],12552,modern big band,,,,,NA,NA
5FobI8tX7XLuLImE2C3FJV,Jaro Cristo,22,['rap espanol'],3414,rap espanol,,,,,NA,NA
0RIlGvo0OBtWiLsytJVkW9,Antoinex,22,['native american hip hop'],4071,native american hip hop,,,,,NA,NA
77xJf67Cuu7UPJgJoClESG,The Pink Stones,22,['alternative country'],3753,alternative country,,,,,NA,NA
1q7m1DacLfRgt38Wdin4yH,Zebra,22,"['glam metal', 'proto-metal']",53735,glam metal,proto-metal,,,,NA,NA
7KndNWOymXIAJZDOBdgiT1,DJ XBOX360,22,['drift phonk'],10229,drift phonk,,,,,NA,NA
3w6oKUR5lVtFtg6eMjgqao,Killswitch,22,['san diego rap'],3557,san diego rap,,,,,NA,NA
2gbULTKiTcbVhrVXKJ1tCV,Woozy Youngster,23,['study beats'],89,study beats,,,,,NA,NA
7pq7EnlN1IHSyffRTklSqP,Young Jesus,23,['indie psych-pop'],13520,indie psych-pop,,,,,NA,NA
3d5usliWmjkMKGsv2X341Q,Beach Slang,23,"['indie punk', 'modern power pop', 'philly indie']",36881,indie punk,modern power pop,philly indie,,,NA,NA
55tLEUlrzGNtACuMVJZHNf,Peter Ivers,23,['psychedelic folk rock'],8283,psychedelic folk rock,,,,,NA,NA
5CDHEnQ7vIRfL4I18XnLQb,Waldo's Gift,23,['uk contemporary jazz'],8636,uk contemporary jazz,,,,,NA,NA
